# === Skript's variable storage ===
# Please do not modify this file manually!
#
# version: 2.9.5

da, long, 0000000000000000
lsc, long, 0000000000000005
s, long, 000000000000001B
s2, long, 0000000000000006
관리자제외전체인원::2, offlineplayer, 810475756964800455554944820C6C6561737453696742697473049B9CC44F7DFD05B50B6D6F7374536967426974730476CDC94735984F9C
관리자제외전체인원::3, offlineplayer, 810475756964800455554944820C6C6561737453696742697473049B9CC44F7DFD05B50B6D6F7374536967426974730476CDC94735984F9C
관리자제외전체인원::4, offlineplayer, 810475756964800455554944820C6C6561737453696742697473049B9CC44F7DFD05B50B6D6F7374536967426974730476CDC94735984F9C
관리자제외전체인원::5, offlineplayer, 810475756964800455554944820C6C6561737453696742697473048292810FC53F57F50B6D6F73745369674269747304BE324543DCA74110
관리자제외전체인원::6, offlineplayer, 810475756964800455554944820C6C6561737453696742697473049B9CC44F7DFD05B50B6D6F7374536967426974730476CDC94735984F9C
관리자제외전체인원::8, offlineplayer, 810475756964800455554944820C6C6561737453696742697473049B9CC44F7DFD05B50B6D6F7374536967426974730476CDC94735984F9C
관리자제외전체인원::9, offlineplayer, 810475756964800455554944820C6C656173745369674269747304B5635592011A9E120B6D6F73745369674269747304072BD984CA3D4FF5
내구책, itemstack, 810576616C75652080B276616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020763A20343038320A2020747970653A20454E4348414E5445445F424F4F4B0A20206D6574613A0A202020203D3D3A204974656D4D6574610A202020206D6574612D747970653A20454E4348414E5445440A2020202073746F7265642D656E6368616E74733A0A2020202020206D696E6563726166743A756E627265616B696E673A20330A
다이아갯수, long, 0000000000000000
다이아갯수::76cdc947-3598-4f9c-9b9c-c44f7dfd05b5, double, C000000000000000
다이아갯수::104ed1d5-3d21-4215-b23d-620e132f8a34, long, 0000000000000000
다이아갯수::be324543-dca7-4110-8292-810fc53f57f5, long, 0000000000000000
다이아보유::072bd984-ca3d-4ff5-b563-5592011a9e12, long, 0000000000000000
다이아보유::76cdc947-3598-4f9c-9b9c-c44f7dfd05b5, long, 0000000000000000
다이아보유::104ed1d5-3d21-4215-b23d-620e132f8a34, long, 0000000000000000
다이아보유::be324543-dca7-4110-8292-810fc53f57f5, long, 0000000000000000
다이아제출갯수, long, 0000000000000000
다이아제출갯수::76cdc947-3598-4f9c-9b9c-c44f7dfd05b5, long, 0000000000000000
다이아제출갯수::104ed1d5-3d21-4215-b23d-620e132f8a34, long, 0000000000000000
다이아제출갯수::be324543-dca7-4110-8292-810fc53f57f5, long, 0000000000000000
도박템0, itemtype, 8603616C6C0F00057479706573800941727261794C697374810676616C7565733080064F626A6563748001800B4E65774974656D44617461880B626C6F636B56616C756573800E4E6577426C6F636B56616C7565738209697344656661756C740F01046461746120800E6D696E6563726166743A64697274076973416C6961730F0005706C61696E0F00046D6574618022436F6E66696775726174696F6E53657269616C697A61626C655F4974656D4D657461810576616C75652080CC76616C75653A0A20203D3D3A204974656D4D6574610A20206D6574612D747970653A20554E53504543494649430A2020646973706C61792D6E616D653A20277B2274657874223A22222C226578747261223A5B7B2274657874223A2230EBB0B0222C226F626675736361746564223A66616C73652C226974616C6963223A66616C73652C22756E6465726C696E6564223A66616C73652C22737472696B657468726F756768223A66616C73652C22636F6C6F72223A22726564222C22626F6C64223A66616C73657D5D7D270A096974656D466C61677303000000020A6973416E797468696E670F00026964030000001C086974656D466F726D0F0006616D6F756E7403FFFFFFFF046974656D000A676C6F62616C4D6574610005626C6F636B00
